"Product Version";"Official Name";"Product";"Product Line";"Product Category";"Add-On Product Version";"Current Status";"Restricted available (productive use not allowed)";"Restricted available (productive use allowed)";"Unrestricted available";"Readiness Status for SAP HANA";"Readiness Date for SAP HANA";"End of mainstream maintenance";"End of extended maintenance";"End of Priority-One Support";"End of SAP S/4HANA Cloud Safekeeper Service";"URL to Product Version in SAP Support Portal. Disclaimer: Please notice that always the online information on SAP Support Portal is the recent information!"
"SAP SINGLE SIGN-ON 3.0";"SAP Single Sign-On 3.0";"SAP SINGLE SIGN ON";"SAP Single Sign-On";"Technology Platform";"Yes";"Unrestricted available";"";"04.07.2016";"04.07.2016";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008795";
"SAP EHP1 FOR SAP NETWEAVER 7.0";"SAP enhancement package 1 for SAP NetWeaver 7.0";"SAP NETWEAVER";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"31.07.2008";"13.10.2008";"13.03.2009";"";"";"31.12.2017";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900000866";
"EHP3 FOR SAP ERP 6.0";"SAP enhancement package 3 for SAP ERP 6.0";"SAP ERP ENHANCE PACKAGE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"07.12.2007";"31.05.2008";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001469";
"SAP BUSINESS ONE 10.0";"SAP Business One 10.0";"SAP BUSINESS ONE";"SAP Business One";"Enterprise Management";"No";"Unrestricted available";"12.08.2019";"11.11.2019";"30.04.2020";"";"";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003264";
"SYBASE IQ 16.2";"SAP IQ 16.2";"SYBASE IQ";"SAP IQ";"Technology Platform";"No";"Not yet available";"";"Estimated for Q3/2025";"";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009031";
"EHP4 FOR SAP SRM 7.0";"SAP enhancement package 4 for SAP Supplier Relationship Management 7.0";"SAP SRM ENHANCE PACKAGE";"SAP Supplier Relationship Management";"Supplier Relationship Management";"Yes";"Unrestricted available";"";"20.01.2016";"20.01.2016";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000250";
"SAP CONVERGENT CHARGING 2023";"SAP Convergent Charging 2023";"SAP CONVERGENT CHARGING";"SAP Billing and Revenue Innovation Management";"Financial Management";"No";"Unrestricted available";"";"14.11.2023";"14.11.2023";"Ready";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007125";
"SAP ASE 16.0.3";"SAP Adaptive Server Enterprise 16.0.3";"SAP ADAPTIVE SERVER ENTERPRISE";"SAP Adaptive Server Enterprise";"Technology Platform";"No";"Unrestricted available";"";"08.06.2023";"08.06.2023";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008380";
"EHP1 FOR SAP ERP 6.0";"SAP enhancement package 1 for SAP ERP 6.0";"SAP ERP ENHANCE PACKAGE";"SAP ERP";"Enterprise Management";"Yes";"Restricted available  (productive use allowed)";"";"21.12.2006";"";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001399";
"EHP2 FOR SAP SCM 7.0";"SAP enhancement package 2 for SAP Supply Chain Management 7.0";"SAP SCM ENHANCE PACKAGE";"SAP Supply Chain Management";"Supply Chain Management";"Yes";"Unrestricted available";"24.08.2011";"08.11.2011";"07.05.2012";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900002460";
"EHP3 FOR SAP SCM 7.0";"SAP enhancement package 3 for SAP Supply Chain Management 7.0";"SAP SCM ENHANCE PACKAGE";"SAP Supply Chain Management";"Supply Chain Management";"Yes";"Unrestricted available";"";"13.08.2013";"13.08.2013";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900005017";
"SAP MASTER DATA GOVERNANCE 9.2";"SAP Master Data Governance 9.2";"SAP MASTER DATA GOVERNANCE";"SAP Master Data Governance";"Technology Platform";"Yes";"Unrestricted available";"";"16.11.2018";"16.11.2018";"Ready";"16.11.2018";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002214";
"SAP ADV TRACK TRACE PHARMA 3.0";"SAP Advanced Track and Trace for Pharmaceuticals 3.0";"SAP ADV TRACK TRACE PHARMA";"SAP Advanced Track and Trace for Pharmaceuticals";"Supply Chain Management";"Yes";"Unrestricted available";"";"14.08.2020";"14.08.2020";"Ready";"14.08.2020";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005181";
"SAP DISCLOSURE MGMT. 10.1";"SAP Disclosure Management 10.1";"SAP DISCLOSURE MANAGEMENT";"SAP Disclosure Management";"Financial Management";"No";"Unrestricted available";"";"12.09.2014";"12.09.2014";"Ready";"15.04.2013";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004186";
"SAP S/4HANA EWM FOR CP 2210";"SAP Extended Warehouse Management, industry add-on for SAP S/4HANA 2210";"SAP S/4HANA EWM FOR CP";"SAP Extended Warehouse Management";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"28.10.2022";"";"Ready";"28.10.2022";"31.12.2026";"";"";"31.03.2029";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006774";
"SAP IDENTITY MANAGEMENT 8.0";"SAP Identity Management 8.0";"SAP NW IDENTITY MANAGEMENT";"SAP NetWeaver";"Technology Platform";"Yes";"Unrestricted available";"";"01.12.2014";"16.03.2015";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008850";
"SAP S/4HANA CLOUD 2508";"SAP S/4HANA Cloud Public Edition 2508";"SAP S/4HANA CLOUD";"SAP S/4HANA Cloud";"Enterprise Management";"No";"Unrestricted available";"";"31.07.2025";"16.08.2025";"";"";"23.03.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008302";
"NW AS ABAP 7.51 INNOVATION PKG";"SAP NetWeaver Application Server for ABAP 7.51 innovation package";"NW AS ABAP INNOVATION PACKAGE";"SAP NetWeaver";"Technology Platform";"No";"Unrestricted available";"";"14.10.2016";"14.10.2016";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000781";
"SAP TM 9.6";"SAP Transportation Management 9.6";"SAP TRANSPORTATION MANAGEMENT";"SAP Transportation Management";"Supply Chain Management";"Yes";"Unrestricted available";"";"14.12.2018";"09.10.2019";"Ready";"14.12.2018";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002751";
"SAP S/4HANA FOUNDATION 2020";"SAP S/4HANA foundation 2020";"SAP S/4HANA FOUNDATION";"SAP S/4HANA";"Enterprise Management";"No";"Unrestricted available";"";"07.10.2020";"07.10.2020";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003851";
"ARIBA CLOUD INT S/4HANA 1.0";"SAP Integration Suite, managed gateway for spend mgmt and SAP Business Network for SAP S/4HANA 1.0";"ARIBA CLOUD INT S/4HANA";"SAP Integration Suite";"Technology Platform";"Yes";"Unrestricted available";"";"05.03.2018";"29.06.2018";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001875";
"SAP SQL ANYWHERE 17.0";"SAP SQL Anywhere 17.0";"SYBASE SQL ANYWHERE";"SAP SQL Anywhere";"Technology Platform";"No";"Unrestricted available";"";"16.07.2015";"16.07.2015";"Ready";"16.07.2015";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008965";
"EHP3 FOR SAP CRM 7.0";"SAP enhancement package 3 for SAP CRM 7.0";"SAP CRM ENHANCE PACKAGE";"SAP Customer Relationship Management";"Customer Relationship Management";"Yes";"Unrestricted available";"";"13.08.2013";"13.08.2013";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900005117";
"SAP CRM 7.0";"SAP Customer Relationship Management 7.0";"SAP CRM";"SAP Customer Relationship Management";"Customer Relationship Management";"No";"Unrestricted available";"";"04.05.2009";"05.05.2009";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001287";
"SAP FIORI FOR SAP HCM 2.0";"SAP Fiori 2.0 for SAP ERP HCM";"SAP FIORI FOR SAP HCM";"";"";"Yes";"Unrestricted available";"";"26.07.2017";"26.07.2017";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001720";
"SAP S/4HANA FOUNDATION 2022";"SAP S/4HANA Foundation 2022";"SAP S/4HANA FOUNDATION";"SAP S/4HANA";"Enterprise Management";"No";"Unrestricted available";"18.08.2022";"12.10.2022";"12.10.2022";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005543";
"SAP ACCESS CONTROL 10.1";"SAP Access Control 10.1";"SAP ACCESS CONTROL";"SAP Access Control";"Financial Management";"Yes";"In customer-specific maintenance";"03.05.2013";"14.06.2013";"10.12.2013";"Ready";"03.05.2013";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004530";
"SAP FIORI FES 2025 FOR S/4HANA";"SAP Fiori front-end server 2025 for SAP S/4HANA";"SAP FIORI FES FOR S/4HANA";"SAP Fiori";"Technology Platform";"Yes";"Not yet available";"";"Estimated for Q4/2025";"Estimated for Q4/2025";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008301";
"SAP POWERDESIGNER 16.7";"SAP PowerDesigner 16.7";"SAP POWERDESIGNER";"SAP PowerDesigner";"Technology Platform";"No";"Unrestricted available";"";"10.04.2020";"10.04.2020";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004463";
"S4 ADV TRACK TRACE PHARMA 2310";"SAP Advanced Track and Trace for Pharmaceuticals on SAP S/4HANA 2310";"S4 ADV TRACK TRACE PHARMA";"SAP Advanced Track and Trace for Pharmaceuticals";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"02.10.2023";"";"Ready";"02.10.2023";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007870";
"SAP FIORI FOR SAP AC 2.0";"SAP Fiori for SAP Access Control 2.0";"SAP FIORI FOR ACCESS CONTROL";"SAP Fiori";"Technology Platform";"Yes";"Unrestricted available";"";"30.03.2023";"30.03.2023";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005886";
"SAP PROCESS CONTROL 12.0";"SAP Process Control 12.0";"SAP PROCESS CONTROL";"SAP Process Control";"Financial Management";"Yes";"Unrestricted available";"";"28.03.2018";"21.09.2018";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002289";
"SAP S/4HANA FINANCE 1605";"SAP S/4HANA Finance 1605";"SAP S/4HANA FINANCE";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"02.11.2015";"31.05.2016";"31.05.2016";"Ready";"";"31.12.2025";"";"";"31.03.2028";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000378";
"SAP TDMS 4.0";"SAP Test Data Migration Server 4.0";"SAP TEST DATA MIGRATION SERVER";"SAP Test Data Migration Server";"Technology Platform";"Yes";"Unrestricted available";"02.09.2011";"04.11.2011";"16.03.2012";"Ready";"13.02.2013";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900004824";
"SAP FINANCIAL CONS. 10.1";"SAP Financial Consolidation 10.1";"SAP FINANCIAL CONSOLIDATION";"SAP Financial Consolidation";"Financial Management";"No";"Unrestricted available";"";"15.04.2015";"15.07.2015";"Ready";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000067";
"EHP2 FOR SAP ERP 6.0";"SAP enhancement package 2 for SAP ERP 6.0";"SAP ERP ENHANCE PACKAGE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"27.07.2007";"30.11.2007";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900000432";
"SAP FIORI FES 2022 FOR S/4HANA";"SAP Fiori front-end server 2022 for SAP S/4HANA";"SAP FIORI FES FOR S/4HANA";"SAP Fiori";"Technology Platform";"Yes";"Unrestricted available";"";"12.10.2022";"12.10.2022";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006712";
"SAP LUMIRA 2.4";"SAP Lumira 2.4";"SAP LUMIRA";"SAP Lumira";"Technology Platform";"No";"Unrestricted available";"";"11.08.2020";"11.08.2020";"";"";"30.12.2025";"";"31.12.2026";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004227";
"SAP SCREEN PERSONAS 3.0";"SAP Screen Personas 3.0";"SAP SCREEN PERSONAS";"SAP Screen Personas";"Technology Platform";"Yes";"Unrestricted available";"23.05.2014";"15.08.2014";"02.07.2015";"Ready";"";"31.12.2032";"31.12.2032";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008665";
"SAP CLOUD APP STUDIO 2508";"SAP Cloud Applications Studio 2508";"SAP CLOUD APPLICATIONS STUDIO";"SAP Cloud Applications Studio";"Technology Platform";"No";"Unrestricted available";"";"02.08.2025";"16.08.2025";"";"";"30.11.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009842";
"SAP LANDSCAPE TRANSFORMATION 2";"SAP Landscape Transformation 2.0";"SAP LANDSCAPE TRANSFORMATION";"SAP Landscape Transformation";"Technology Platform";"Yes";"Unrestricted available";"02.09.2011";"04.11.2011";"21.02.2012";"Ready";"13.02.2013";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900004697";
"SAP S/4HANA ON-PREMISE 1511";"SAP S/4HANA, on-premise edition 1511";"SAP S/4HANA";"SAP S/4HANA";"Enterprise Management";"No";"In customer-specific maintenance";"";"10.11.2015";"15.03.2016";"Ready";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000398";
"SAP SFINANCIALS 1503";"SAP Simple Finance, on-premise edition 1503";"SAP S/4HANA FINANCE";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"30.03.2015";"18.05.2015";"Ready";"";"31.12.2025";"";"";"31.03.2028";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000079";
"SAP SOLUTION MANAGER 7.1";"SAP Solution Manager 7.1";"SAP SOLUTION MANAGER";"SAP Solution Manager";"Technology Platform";"No";"In customer-specific maintenance";"06.08.2010";"16.05.2011";"15.08.2011";"";"";"31.12.2017";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900002795";
"SAP ECTR 1.2 FOR SAP S/4HANA";"SAP Engineering Control Center 1.2 for SAP S/4HANA";"SAP ECTR FOR SAP S/4HANA";"SAP Engineering Control Center";"Product Lifecycle Management";"Yes";"Restricted available  (productive use allowed)";"";"20.07.2023";"";"Ready";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006581";
"SAP INFORMATION STEWARD 4.3";"SAP Information Steward 4.3";"SAP INFORMATION STEWARD";"SAP Information Steward";"Technology Platform";"No";"Unrestricted available";"";"27.05.2022";"27.05.2022";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004772";
"SAP NW AS ABAP 7.4 FOR SUITE";"SAP NetWeaver Application Server for ABAP 7.4 for SAP Business Suite";"SAP NETWEAVER ABAP FOR SUITE";"SAP NetWeaver";"Technology Platform";"No";"Unrestricted available";"";"29.11.2012";"10.05.2013";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900005821";
"SAP INFORMATION STEWARD 2025";"SAP Information Steward 2025";"SAP INFORMATION STEWARD";"SAP Information Steward";"Technology Platform";"No";"Not yet available";"";"Estimated for Q3/2025";"";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007676";
"SAP S/4HANA FOUNDATION 2021";"SAP S/4HANA foundation 2021";"SAP S/4HANA FOUNDATION";"SAP S/4HANA";"Enterprise Management";"No";"Unrestricted available";"";"13.10.2021";"13.10.2021";"Ready";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005135";
"EHP6 FOR SAP ERP 6.0 ON HANA";"SAP enhancement package 6 for SAP ERP 6.0, version for SAP HANA";"SAP ERP POWERED BY HANA";"SAP ERP";"Enterprise Management";"Yes";"In customer-specific maintenance";"";"07.12.2012";"15.05.2013";"Ready";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900005671";
"LOGGING SAP GUI WINDOWS 2.0";"logging of SAP GUI for Windows 2.0";"LOGGING SAP GUI WINDOWS";"SAP NetWeaver";"Technology Platform";"Yes";"Restricted available  (productive use allowed)";"";"17.12.2012";"";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006453";
"SAP S/4HANA MASKING 2011";"UI data protection masking for SAP S/4HANA 2011";"SAP S/4HANA MASKING";"UI data protection";"Technology Platform";"Yes";"Unrestricted available";"";"27.11.2020";"27.11.2020";"Ready";"27.11.2020";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004971";
"SAP GATEWAY 2.0";"SAP Gateway 2.0";"SAP GATEWAY";"SAP NetWeaver";"Technology Platform";"Yes";"Unrestricted available";"06.05.2011";"13.06.2011";"13.10.2011";"";"";"31.12.2027";"31.12.2030";"";"31.12.2030";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900005437";
"SAP PC 10.1 FOR MICROSOFT";"SAP Business Planning and Consolidation 10.1, version for Microsoft";"SAP BPC FOR MICROSOFT";"SAP Business Planning and Consolidation";"Financial Management";"No";"Unrestricted available";"";"28.11.2014";"31.07.2015";"";"";"30.06.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000105";
"EHP1 FOR SAP SCM 7.0";"SAP enhancement package 1 for SAP Supply Chain Management 7.0";"SAP SCM ENHANCE PACKAGE";"SAP Supply Chain Management";"Supply Chain Management";"Yes";"Unrestricted available";"12.07.2010";"20.12.2010";"12.05.2011";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001149";
"SUCCESSFACTORS HCM INTEGR 3.0";"integration add-on 3.0 for SAP ERP HCM and SAP SuccessFactors HCM Suite";"SUCCESSFACTORS HCM INTEGR";"SAP SuccessFactors HCM";"Human Capital Management";"Yes";"Unrestricted available";"";"30.06.2014";"15.10.2014";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008983";
"SAP SRM 7.0 / NW7.01";"SAP Supplier Relationship Management 7.0 on SAP enhancement package 1 for SAP NetWeaver 7.0";"SAP SRM";"SAP Supplier Relationship Management";"Supplier Relationship Management";"No";"Unrestricted available";"";"21.11.2008";"05.05.2009";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001213";
"AS ABAP 7.52 FOR S/4HANA FES";"SAP NetWeaver Application Server for ABAP 7.52 for SAP S/4HANA";"AS ABAP FOR S/4HANA FRONTEND";"SAP NetWeaver";"Technology Platform";"No";"Unrestricted available";"27.07.2017";"15.09.2017";"15.09.2017";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001612";
"SYBASE ASE 15.7";"SAP Adaptive Server Enterprise 15.7";"SAP ADAPTIVE SERVER ENTERPRISE";"SAP Adaptive Server Enterprise";"Technology Platform";"No";"In customer-specific maintenance";"";"09.03.2012";"09.03.2012";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900006882";
"SAP EP 6.0 ON WEB AS 6.20";"SAP Enterprise Portal 6.0 on SAP NetWeaver Application Server 6.20";"SAP ENTERPRISE PORTAL";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"";"17.03.2003";"";"";"";"31.12.2006";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001016";
